lately,mid_addr,cum_operaCnt,past,mid_addr,cum_operaCnt
2019,외도일동,2561.0,2014,용담일동,891.0
2018,외도일동,2256.0,2013,용담일동,739.0
2023,용담삼동,563.0,2012,용담일동,918.0
2022,용담삼동,525.0,2011,용담일동,934.0
2021,용담삼동,788.0,2010,용담일동,571.0
2020,용담삼동,801.0,2009,용담일동,555.0
2019,용담삼동,487.0,2014,우도면,424.0
2018,용담삼동,598.0,2013,우도면,216.0
2023,용담이동,1958.0,2012,우도면,211.0
2022,용담이동,2043.0,2011,우도면,127.0
2021,용담이동,2247.0,2010,우도면,54.0
2020,용담이동,1645.0,2009,우도면,101.0
2019,용담이동,1415.0,2014,월평동,16.0
2018,용담이동,1277.0,2013,월평동,20.0
2023,용담일동,1312.0,2011,월평동,5.0
2022,용담일동,1823.0,2014,이도이동,6650.0
2021,용담일동,1153.0,2013,이도이동,6030.0
2020,용담일동,1299.0,2012,이도이동,5515.0
2019,용담일동,1921.0,2011,이도이동,5011.0
2018,용담일동,1249.0,2010,이도이동,4605.0
2023,우도면,1496.0,2009,이도이동,4335.0
2022,우도면,2015.0,2014,이도일동,1348.0
2021,우도면,1411.0,2013,이도일동,1397.0
2020,우도면,1129.0,2012,이도일동,848.0
2019,우도면,702.0,2011,이도일동,1273.0
2018,우도면,1053.0,2010,이도일동,1195.0
2023,월평동,63.0,2009,이도일동,833.0
2022,월평동,114.0,2014,이호이동,12.0
2021,월평동,120.0,2013,이호이동,35.0
2020,월평동,60.0,2012,이호이동,12.0
2019,월평동,35.0,2011,이호이동,6.0
2018,월평동,48.0,2009,이호이동,12.0
2023,이도이동,10883.0,2014,이호일동,50.0
2022,이도이동,13315.0,2013,이호일동,65.0
2021,이도이동,12105.0,2012,이호일동,36.0
2020,이도이동,10873.0,2011,이호일동,27.0
2019,이도이동,9904.0,2010,이호일동,16.0
2018,이도이동,9106.0,2009,이호일동,31.0
2023,이도일동,2078.0,2014,일도이동,3826.0
2022,이도일동,2977.0,2013,일도이동,3511.0
2021,이도일동,2369.0,2012,일도이동,3252.0
2020,이도일동,2156.0,2011,일도이동,3021.0
2019,이도일동,1930.0,2010,일도이동,2650.0
2018,이도일동,1596.0,2009,일도이동,2535.0
2023,이호이동,71.0,2014,일도일동,794.0
2022,이호이동,164.0,2013,일도일동,578.0
2021,이호이동,141.0,2012,일도일동,641.0
2020,이호이동,94.0,2011,일도일동,556.0
2019,이호이동,63.0,2010,일도일동,538.0
2018,이호이동,77.0,2009,일도일동,732.0
2023,이호일동,335.0,2014,조천읍,2307.0
2022,이호일동,241.0,2013,조천읍,2063.0
2021,이호일동,137.0,2012,조천읍,1974.0
2020,이호일동,245.0,2011,조천읍,1231.0
2019,이호일동,322.0,2010,조천읍,1515.0
2018,이호일동,123.0,2009,조천읍,1116.0
2023,일도이동,5326.0,2014,중문동,961.0
2022,일도이동,5569.0,2013,중문동,782.0
2021,일도이동,6222.0,2012,중문동,728.0
2020,일도이동,5708.0,2011,중문동,756.0
2019,일도이동,5310.0,2010,중문동,643.0
2018,일도이동,4928.0,2009,중문동,515.0
2023,일도일동,2101.0,2014,추자면,46.0
2022,일도일동,1935.0,2012,추자면,62.0
2021,일도일동,2156.0,2011,추자면,84.0
2020,일도일동,1859.0,2010,추자면,78.0
2019,일도일동,1691.0,2009,추자면,59.0
2018,일도일동,1500.0,2014,토평동,75.0
2023,조천읍,7975.0,2013,토평동,203.0
2022,조천읍,9453.0,2012,토평동,119.0
2021,조천읍,8390.0,2011,토평동,79.0
2020,조천읍,7279.0,2010,토평동,122.0
2019,조천읍,6142.0,2009,토평동,66.0
2018,조천읍,5064.0,2014,표선면,2443.0
2019,죽정동,0.0,2013,표선면,1923.0
2023,중문동,2030.0,2012,표선면,1667.0
2022,중문동,2685.0,2011,표선면,1739.0
2021,중문동,2583.0,2010,표선면,1766.0
2020,중문동,2319.0,2009,표선면,1507.0
2019,중문동,1899.0,2014,하예동,60.0
2018,중문동,1696.0,2013,하예동,28.0
2023,추자면,99.0,2012,하예동,8.0
2022,추자면,142.0,2011,하예동,24.0
2021,추자면,304.0,2010,하예동,7.0
2020,추자면,149.0,2009,하예동,7.0
2019,추자면,173.0,2014,하원동,3.0
2018,추자면,63.0,2013,하원동,3.0
2023,토평동,276.0,2011,하원동,5.0
2022,토평동,440.0,2009,하원동,4.0
2021,토평동,413.0,2014,하효동,112.0
2020,토평동,307.0,2013,하효동,80.0
2019,토평동,551.0,2012,하효동,125.0
2018,토평동,355.0,2011,하효동,85.0
2023,표선면,4628.0,2010,하효동,61.0
2022,표선면,5628.0,2009,하효동,114.0
2021,표선면,4634.0,2014,한경면,677.0
2020,표선면,4617.0,2013,한경면,600.0
2019,표선면,4288.0,2012,한경면,632.0
2018,표선면,3906.0,2011,한경면,255.0
2023,하예동,166.0,2010,한경면,305.0
2022,하예동,156.0,2009,한경면,194.0
2021,하예동,251.0,2014,한림읍,2926.0
2020,하예동,97.0,2013,한림읍,2584.0
2019,하예동,119.0,2012,한림읍,2375.0
2018,하예동,132.0,2011,한림읍,2181.0
2023,하원동,33.0,2010,한림읍,2024.0
2022,하원동,27.0,2009,한림읍,1568.0
2021,하원동,24.0,2014,해안동,9.0
2019,하원동,33.0,2013,해안동,21.0
2018,하원동,11.0,2012,해안동,4.0
2023,하효동,587.0,2011,해안동,4.0
2022,하효동,697.0,2010,해안동,4.0
2021,하효동,558.0,2014,호근동,28.0
2020,하효동,288.0,2013,호근동,44.0
2019,하효동,495.0,2012,호근동,19.0
2018,하효동,257.0,2011,호근동,8.0
2023,한경면,3255.0,2010,호근동,8.0
2022,한경면,3887.0,2009,호근동,13.0
2021,한경면,3087.0,2014,화북이동,5.0
2020,한경면,2784.0,2013,화북이동,21.0
2019,한경면,2176.0,2012,화북이동,2.0
2018,한경면,1972.0,2011,화북이동,2.0
2023,한림읍,8436.0,2009,화북이동,6.0
2022,한림읍,10164.0,2014,화북일동,1258.0
2021,한림읍,8755.0,2013,화북일동,928.0
2020,한림읍,7634.0,2012,화북일동,1019.0
2019,한림읍,6642.0,2011,화북일동,954.0
2018,한림읍,5496.0,2010,화북일동,633.0
2023,해안동,148.0,2009,화북일동,533.0
2022,해안동,93.0,2014,회수동,15.0
2021,해안동,375.0,2012,회수동,6.0
2020,해안동,215.0,2014,회천동,11.0
2019,해안동,134.0,2009,회천동,5.0
2018,해안동,55.0,,,
2023,호근동,349.0,,,
2022,호근동,294.0,,,
2021,호근동,289.0,,,
2020,호근동,180.0,,,
2019,호근동,251.0,,,
2018,호근동,232.0,,,
2023,화북이동,77.0,,,
2022,화북이동,105.0,,,
2021,화북이동,48.0,,,
2020,화북이동,52.0,,,
2019,화북이동,20.0,,,
2018,화북이동,9.0,,,
2023,화북일동,2045.0,,,
2022,화북일동,3329.0,,,
2021,화북일동,2960.0,,,
2020,화북일동,2382.0,,,
2019,화북일동,2253.0,,,
2018,화북일동,1892.0,,,
2023,회수동,57.0,,,
2022,회수동,101.0,,,
2021,회수동,63.0,,,
2020,회수동,51.0,,,
2019,회수동,29.0,,,
2018,회수동,26.0,,,
2023,회천동,14.0,,,
2022,회천동,25.0,,,
2019,회천동,30.0,,,
